,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
362,GEOMETRIC_CENTER,"Sterling St, Brooklyn, NY 11225, USA",ChIJ59SHynFbwokRKRKEsB7FU8c,STERLING ST New York City metro station,40.6632908,-73.951044,1,11225,OK,"establishment,point_of_interest,subway_station,transit_station"
363,GEOMETRIC_CENTER,"Winthrop St, Brooklyn, NY 11225, USA",ChIJF8H1LG9bwokRKEUFxopk2pc,WINTHROP ST New York City metro station,40.6569618,-73.95023069999999,1,11225,OK,"establishment,point_of_interest,subway_station,transit_station"
364,GEOMETRIC_CENTER,"Beverly Rd, Brooklyn, NY 11226, USA",ChIJrxvswERbwokRN0S9Upes9uo,BEVERLY RD New York City metro station,40.6450913,-73.9489985,2,11226,OK,"establishment,point_of_interest,subway_station,transit_station"
365,GEOMETRIC_CENTER,"Newkirk Avenue Station, Nostrand Ave, Brooklyn, NY 11226, USA",ChIJlevE3E9bwokR-lKeVcJwuZE,NEWKIRK AV New York City metro station,40.6399939,-73.94842059999999,1,11226,OK,"establishment,point_of_interest,subway_station,transit_station"
366,GEOMETRIC_CENTER,"Atlantic Av-Barclays Center, Atlantic Ave & Flatbush Ave, Brooklyn, NY, United States",ChIJsQdV5K1bwokRjtqc2QlHIWw,FLATBUSH AV-B.C New York City metro station,40.6834617,-73.9765824,1,,OK,"establishment,point_of_interest,subway_station,transit_station"
367,GEOMETRIC_CENTER,"Morris Park Station, Bronx, NY 10462, USA",ChIJt8b4xKD0wokREz1ig1s5wTI,MORRIS PARK New York City metro station,40.854539,-73.8602974,1,10462,OK,"establishment,point_of_interest,subway_station,transit_station"
368,GEOMETRIC_CENTER,"Baychester Av, Bronx, NY 10469, USA",ChIJp2YrZ8yMwokRMwk0qXFv_GU,BAYCHESTER AV New York City metro station,40.8790983,-73.8381028,1,10469,OK,"establishment,point_of_interest,subway_station,transit_station"
369,GEOMETRIC_CENTER,"Eastchester - Dyre Av, Bronx, NY 10466, USA",ChIJy9SHeteMwokRj0-jYNUxxzs,EASTCHSTER/DYRE New York City metro station,40.8879392,-73.8310628,1,10466,OK,"establishment,point_of_interest,subway_station,transit_station"
370,GEOMETRIC_CENTER,"St George, Staten Island, NY 10301, USA",ChIJ9SGWhNNPwokRXflVNiVieIs,ST. GEORGE New York City metro station,40.64400390000001,-74.0733248,1,10301,OK,"establishment,point_of_interest,train_station,transit_station"
371,GEOMETRIC_CENTER,"Tompkinsville Station, Staten Island, NY 10304, USA",ChIJc-nJ4sxPwokRNHWYj8Zbq7I,TOMPKINSVILLE New York City metro station,40.6376266,-74.07502889999999,1,10304,OK,"establishment,point_of_interest,train_station,transit_station"
372,GEOMETRIC_CENTER,"World Trade Center, New York, NY 10007, USA",ChIJFSysHBlawokRuTFRpOXXM38,RIT-MANHATTAN New York City metro station,40.7126452,-74.00989799999999,2,10007,OK,"establishment,point_of_interest,subway_station,transit_station"
373,GEOMETRIC_CENTER,"Roosevelt Av - Jackson Heights Subway Station, Roosevelt Ave &, 74th Street, New York, 11372, United States",ChIJaXls0QBfwokRl9AcpPjexoQ,RIT-ROOSEVELT New York City metro station,40.746739,-73.8909986,1,11372,OK,"establishment,point_of_interest,subway_station,transit_station"
374,GEOMETRIC_CENTER,"174-175 St Station, Bronx, NY 10453, USA",ChIJ94pi_Wr0wokRsRY5_v1_3n0,174-175 STS New York City metro station,40.846524,-73.9097269,1,10453,OK,"establishment,point_of_interest,subway_station,transit_station"
375,GEOMETRIC_CENTER,"57th Street-Seventh Ave., New York, NY 10106, USA",ChIJb-OFh_dYwokRAJW452KSwV0,57 ST New York City metro station,40.765564,-73.9803309,2,10106,OK,"establishment,point_of_interest,subway_station,transit_station"
376,GEOMETRIC_CENTER,"39 Avenue Station, Queens, NY 11101, USA",ChIJpwGhgCtfwokR-jJi3_Dt4uM,39 AV New York City metro station,40.7526574,-73.9328598,1,11101,OK,"establishment,point_of_interest,subway_station,transit_station"
377,GEOMETRIC_CENTER,"163 Street Subway Station, New York, NY 10032, USA",ChIJ-xLFEYP2wokRkem_VrgChLQ,163 ST-AMSTERDM New York City metro station,40.836018,-73.9398665,1,10032,OK,"establishment,point_of_interest,subway_station,transit_station"
